,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
357339,GC-WD-DEO-2016-2017-Q4-0060,City of Vancouver|Ville de Vancouver,"Vancouver, BC|Vancouver, C.-B.",,Expand green space and add new active amenities at Sunset Park in Vancouver,,13929,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357340,GC-WD-DEO-2016-2017-Q4-0061,Riviere Qui Barre Agricultural Society,"Sturgeon County, AB",,Renovate the Riviere Qui Barre Arena,,13970,200000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357341,GC-WD-DEO-2016-2017-Q4-0062,Lendrum Community League and the City of Edmonton|Lendrum Community League et Ville d'Edmonton,"Edmonton, AB",,Redevelop the Lendrum Park spray deck in Edmonton,,13885,28863,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357342,GC-WD-DEO-2016-2017-Q4-0063,West Hillhurst Community Association & City of Calgary|Association communautaire de West Hillhurst et Ville de Calgary,"Calgary, AB",,Renovate West Hillhurst Arena in Calgary,,13892,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357343,GC-WD-DEO-2016-2017-Q4-0064,Siksika Nation|Nation des Siksika,"Siksika, AB",,Renovate the Siksika Deerfoot Sportsplex,,14019,409500,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357344,GC-WD-DEO-2016-2017-Q4-0065,Rocky Curling Club and the Town of Rocky Mountain House|Club de curling de Rocky,"Rocky Mountain House, AB",,Upgrade the Rocky Curling Club in Rocky Mountain House,,13960,150000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357345,GC-WD-DEO-2016-2017-Q4-0066,City of Kamloops|Ville de Kamloops,"Kamloops, BC|Kamloops, C.-B.",,Replace the indoor track at the Tournament Capital Centre in Kamloops,,14103,500000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357346,GC-WD-DEO-2016-2017-Q4-0067,The Forks Renewal Corporation,"Winnipeg, MB",,Enhance pathway at the Forks in Winnipeg,,14181,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357347,GC-WD-DEO-2016-2017-Q4-0068,City of Burnaby|Ville de Burnaby,"Burnaby, BC|Burnaby, C.-B.",,Upgrade the track at Swangard Stadium in Burnaby,,13964,420000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357348,GC-WD-DEO-2016-2017-Q4-0069,City of Regina|Ville de Regina,"Regina, SK",,Upgrade lighting in Lawson Aquatic Centre and Fieldhouse in the City of Regina,,14025,200000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357349,GC-WD-DEO-2016-2017-Q4-0070,Saulteau First Nations|Premières Nations des Saulteaux,"Chetwynd, BC|Chetwynd, C.-B.",,Install a biomass energy system on the Saulteau First Nations reserve in Moberly Lake,,14039,115000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357350,GC-WD-DEO-2016-2017-Q4-0071,Cariboo Mountain Bike Consortium Society,"McLeese Lake, BC|McLeese Lake, C.-B.",,Upgrade the Desous Mountain recreation site in McLeese Lake,,14041,42989,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357351,GC-WD-DEO-2016-2017-Q4-0072,Town of Killam|Municipalité de Killam,"Killam, AB",,Upgrade the Memorial Arena in Killam,,14042,67667,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357352,GC-WD-DEO-2016-2017-Q4-0073,Buffalo Lake Metis Settlement|Établissement métis de Buffalo Lake,"Caslan, AB",,Upgrade recreation complex at Buffalo Lake Metis Settlement,,14186,125000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357353,GC-WD-DEO-2016-2017-Q4-0074,City of Airdrie|Ville d'Airdrie,"Airdrie, AB",,Upgrade the Ron Ebbesen Arena in Airdrie,,13932,274944,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357354,GC-WD-DEO-2016-2017-Q4-0075,The Corporation of the City of Port Coquitlam|La Corporation de la ville de Port Coquitlam,"Port Coquitlam, BC|Port Coquitlam, C.-B.",,Upgrade the Centennial Pool in Port Coquitlam,,13936,500000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357355,GC-WD-DEO-2016-2017-Q4-0076,Town of Granum|Municipalité de Granum,"Granum, AB",,Rehabilitate recreational facility in Granum,,14069,100000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357356,GC-WD-DEO-2016-2017-Q4-0077,Town of Strathmore|Municipalité de Strathmore,"Strathmore, AB",,Upgrade the ice plant system at the Strathmore Family Centre Arena,,14073,450000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357357,GC-WD-DEO-2016-2017-Q4-0078,Mathias Colomb Cree Nation|Nation crie Mathias Colomb,"Pukatawagan, MB",,Rehabilitate the community arena in Mathias Colomb Cree Nation,,14104,260000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357358,GC-WD-DEO-2016-2017-Q4-0079,Athabasca Chipewyan First Nation|Première Nation Athabasca Chipewyan,"Fort Chipewyan, AB",,Expand the Youth and Elders Lodge in Fort Chipewyan,,14108,404789,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357359,GC-WD-DEO-2016-2017-Q4-0080,Town of Osoyoos|Municipalité de Osoyoos,"Osoyoos, BC|Osoyoos, C.-B.",,Upgrade and pave the canal trail in Osoyoos,,14110,59920,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357360,GC-WD-DEO-2016-2017-Q4-0081,City of Terrace|Ville de Terrace,"Terrace, BC|Terrace, C.-B.",,Improve and expand George Little Park and water area in Terrace,,13913,268000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357361,GC-WD-DEO-2016-2017-Q4-0082,Volleyball BC,"Burnaby, BC|Burnaby, C.-B.",,Replace volleyball floor and divider netting at Harry Jerome Sports Centre in Burnaby,,14137,150000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357362,GC-WD-DEO-2016-2017-Q4-0083,Skownan First Nation|Première Nation Skownan,"Skownan, MB",,Install solar panels at the community centre in Skownan First Nation,,14188,90000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357363,GC-WD-DEO-2016-2017-Q4-0084,Horizon School Division No. 205|Division scolaire no 205 d'Horizon,"Humboldt, SK",,Upgrade the gymnasium at the Punnichy Community School,,14125,60100,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357364,GC-WD-DEO-2016-2017-Q4-0085,Rural Municipality of Coldwell|Municipalité rurale de Coldwell,"LUNDAR, MB",,Rehabilitate the arena in Lundar,,14126,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357365,GC-WD-DEO-2016-2017-Q4-0086,Stoney Tribal Administration|Administration tribale des Stoney,"Morley, AB",,Renovate facilities at the Morley Community Recreation Centre,,14178,150000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357366,GC-WD-DEO-2016-2017-Q4-0087,Town of Davidson|Municipalité de Davidson,"Davidson, SK",,Upgrade the lighting at the Davidson Communiplex,,13990,28550,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357367,GC-WD-DEO-2016-2017-Q4-0088,Wascana Centre Authority|Administration du Centre Wascana,"Regina, SK",,Rejuvenate the waterfowl display pond in Wascana Park in the City of Regina,,14243,53600,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357368,GC-WD-DEO-2016-2017-Q4-0089,Fraser Valley Regional District|District régional de la vallée du Fraser,"Chilliwack, BC|Chilliwack, C.-B.",,Expand the Fitness Centre in Hope,,13978,91760,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357369,GC-WD-DEO-2016-2017-Q4-0090,Northern Village of Ile-a-la-Crosse|Village nordique d'Île-à-la-Crosse,"Ile-A-La-Crosse, SK",,Upgrade the arena in Ile a la Crosse,,13979,125000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357370,GC-WD-DEO-2016-2017-Q4-0091,Moricetown Band Administration|Bande de Moricetown,"Smithers, BC|Smithers, C.-B.",,Upgrade the Moricetown Band RV Park and Campground,,13996,180000,3/27/18,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357371,GC-WD-DEO-2016-2017-Q4-0092,Village of Debden|Village de Debden,"Debden, SK",,Upgrade the community centre in the Village of Debden,,14012,40000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357372,GC-WD-DEO-2016-2017-Q4-0093,Village of North Portal|Village de North Portal,"North Portal, SK",,Install playground equipment in Maxwell Park in North Portal,,14037,26500,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357373,GC-WD-DEO-2016-2017-Q4-0094,Discovery Ridge Community Association|Association communautaire de Discovery Ridge,"Calgary, AB",,Upgrade the Discovery Ridge recreation area in Calgary,,14300,61125,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357374,GC-WD-DEO-2016-2017-Q4-0095,Poundmaker Cree Nation|Nation crie de Poundmaker,"Cut Knife, SK",,Renovate the Poundmaker Cree Nation historical centre,,14213,150000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357375,GC-WD-DEO-2016-2017-Q4-0096,Sechelt Indian Band|Bande indienne de Sechelt,"Sechelt, BC|Sechelt, C.-B.",,Upgrade Ted Dixon Park soccer fields in Sechelt,,14232,184988,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357376,GC-WD-DEO-2016-2017-Q4-0097,Barkerville Heritage Trust,"Barkerville, BC|Barkerville, C.-B.",,Upgrade the campground recreational facilities in Barkerville Historic Town and Park,,13891,250000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357377,GC-WD-DEO-2016-2017-Q4-0098,City of Regina|Ville de Regina,"Regina, SK",,Rehabilitate four spray parks in the City of Regina,,13900,250000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357378,GC-WD-DEO-2016-2017-Q4-0099,Edmonton Regional Airports Authority|Administration aéroportuaire régionale d'Edmonton,"Edmonton Int. Airport, AB",,Support Edmonton International Airport's campaign to increase exports,,13880,1300000,12/19/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357379,GC-WD-DEO-2016-2017-Q4-00100,Town of Wadena|Municipalité de Wadena,"Wadena, SK",,Upgrade the ice plant at the curling rink in Wadena,,14195,50000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357380,GC-WD-DEO-2016-2017-Q4-00101,Rural Municipality of Buckland|Municipalité rurale de Buckland,"Prince Albert, SK",,Upgrade the Northern Regional Recreation Centre in the Rural Municipality of Buckland,,14198,113600,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357381,GC-WD-DEO-2016-2017-Q4-00102,Town of Bruderheim|Municipalité de Bruderheim,"Bruderheim, AB",,Renovate the Bruderheim Arena,,13939,169186,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357382,GC-WD-DEO-2016-2017-Q4-00103,The Corporation of the City of Trail|La Corporation de la ville de Trail,"Trail, BC|Trail, C.-B.",,Upgrade and expand the fitness centre at Trail Aquatic and Leisure Centre,,13942,162500,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357383,GC-WD-DEO-2016-2017-Q4-00104,Standard & District Agricultural Society,"Standard, AB",,Enhance light energy efficiency at the Standard and Rosebud Arena,,13957,50000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357384,GC-WD-DEO-2016-2017-Q4-00105,Chemawawin Cree Nation|Nation crie de Chemawawin,"Easterville, MB",,Rehabilitate the Chemawawin Cultural Park and Recreation Centre in Chemawawin Cree Nation,,14091,330000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357385,GC-WD-DEO-2016-2017-Q4-00106,Sagkeeng First Nations|Premières Nations Sagkeeng,"Fort Alexander, MB",,Expand the park in Sagkeeng First Nation,,14093,74750,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357386,GC-WD-DEO-2016-2017-Q4-00107,City of Prince Albert|Ville de Prince Albert,"Prince Albert, SK",,Install lighting in Prime Minister's Park ball diamond in Prince Albert,,14094,46500,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357387,GC-WD-DEO-2016-2017-Q4-00108,Keystone Agricultural & Recreational Centre Incorp.,"BRANDON, MB",,Upgrade indoor turf at the Keystone Centre in Brandon,,14145,111600,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357388,GC-WD-DEO-2016-2017-Q4-00109,The Corporation of the City of Rossland|La Corporation de la ville de Rossland,"Rossland, BC|Rossland, C.-B.",,Renovate Rossland community centre - the historic Miners Hall,,14260,197000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357389,GC-WD-DEO-2016-2017-Q4-00110,Huntington Hills Community Association,"Calgary, AB",,Renovate the Huntington Hills Community Association recreation facility in Calgary,,13921,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357390,GC-WD-DEO-2016-2017-Q4-00111,The University of British Columbia|Université de la Colombie-Britannique,"Kelowna, BC|Kelowna, C.-B.",,Upgrade the University of British Columbia Okanagan campus sport field,,14319,225000,3/8/17,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357391,GC-WD-DEO-2016-2017-Q4-00112,Town of Raymore|Municipalité de Raymore,"Raymore, SK",,Install a playground in the Town of Raymore,,14097,40100,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357392,GC-WD-DEO-2016-2017-Q4-00113,The City of Winnipeg|Ville de Winnipeg,"Winnipeg, MB",,Install a spray pad at the Valley Gardens Community Centre in Winnipeg,,14115,250000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357393,GC-WD-DEO-2016-2017-Q4-00114,Sweetgrass Band|Bande de Sweetgrass,"Gallivan, SK",,Upgrade the Sweetgrass Indian Band community centre in Gallivan,,14121,100000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357394,GC-WD-DEO-2016-2017-Q4-00115,Fort McKay First Nation|Première Nation de Fort McKay,"Fort McMurray, AB",,Upgrade the community arena in Fort McKay,,14309,135576,2/2/17,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357395,GC-WD-DEO-2016-2017-Q4-00116,City of Pitt Meadows|Ville de Pitt Meadows,"Pitt Meadows, BC|Pitt Meadows, C.-B.",,Replace the water spray park at Harris Road Park in Pitt Meadows,,13911,100000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357396,GC-WD-DEO-2016-2017-Q4-00117,Town of Unity|Municipalité d'Unity,"Unity, SK",,Upgrade the multiplex in the Town of Unity,,14065,90000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357397,GC-WD-DEO-2016-2017-Q4-00118,Regional Municipality of Wood Buffalo|Municipalité régionale de Wood Buffalo,"Fort McMurray, AB",,Renovate the Anzac Community Centre,,13882,126768,2/2/17,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
